scenario_id,original_keys,renamed_keys,equivariant
case-3501,"['m-case-3501-target', 'm-case-3501-condition', 'm-case-3501-distractor']","['m-case-3501-target_renamed_val', 'm-case-3501-condition_renamed_val', 'm-case-3501-distractor_renamed_val']",1
case-3502,"['m-case-3502-target', 'm-case-3502-condition', 'm-case-3502-distractor']","['m-case-3502-target_renamed_val', 'm-case-3502-condition_renamed_val', 'm-case-3502-distractor_renamed_val']",1
case-3503,"['m-case-3503-target', 'm-case-3503-condition', 'm-case-3503-distractor']","['m-case-3503-target_renamed_val', 'm-case-3503-condition_renamed_val', 'm-case-3503-distractor_renamed_val']",1
case-3504,"['m-case-3504-target', 'm-case-3504-condition', 'm-case-3504-distractor']","['m-case-3504-target_renamed_val', 'm-case-3504-condition_renamed_val', 'm-case-3504-distractor_renamed_val']",1
case-3505,"['m-case-3505-target', 'm-case-3505-condition', 'm-case-3505-distractor']","['m-case-3505-target_renamed_val', 'm-case-3505-condition_renamed_val', 'm-case-3505-distractor_renamed_val']",1
case-3506,"['m-case-3506-target', 'm-case-3506-condition', 'm-case-3506-distractor']","['m-case-3506-target_renamed_val', 'm-case-3506-condition_renamed_val', 'm-case-3506-distractor_renamed_val']",1
case-3507,"['m-case-3507-target', 'm-case-3507-condition', 'm-case-3507-distractor']","['m-case-3507-target_renamed_val', 'm-case-3507-condition_renamed_val', 'm-case-3507-distractor_renamed_val']",1
case-3508,"['m-case-3508-target', 'm-case-3508-condition', 'm-case-3508-distractor']","['m-case-3508-target_renamed_val', 'm-case-3508-condition_renamed_val', 'm-case-3508-distractor_renamed_val']",1
case-3509,"['m-case-3509-target', 'm-case-3509-condition', 'm-case-3509-distractor']","['m-case-3509-target_renamed_val', 'm-case-3509-condition_renamed_val', 'm-case-3509-distractor_renamed_val']",1
case-3510,"['m-case-3510-target', 'm-case-3510-condition', 'm-case-3510-distractor']","['m-case-3510-target_renamed_val', 'm-case-3510-condition_renamed_val', 'm-case-3510-distractor_renamed_val']",1
case-3511,"['m-case-3511-target', 'm-case-3511-condition', 'm-case-3511-distractor']","['m-case-3511-target_renamed_val', 'm-case-3511-condition_renamed_val', 'm-case-3511-distractor_renamed_val']",1
case-3512,"['m-case-3512-target', 'm-case-3512-condition', 'm-case-3512-distractor']","['m-case-3512-target_renamed_val', 'm-case-3512-condition_renamed_val', 'm-case-3512-distractor_renamed_val']",1
case-3513,"['m-case-3513-target', 'm-case-3513-condition', 'm-case-3513-distractor']","['m-case-3513-target_renamed_val', 'm-case-3513-condition_renamed_val', 'm-case-3513-distractor_renamed_val']",1
case-3514,"['m-case-3514-target', 'm-case-3514-condition', 'm-case-3514-distractor']","['m-case-3514-target_renamed_val', 'm-case-3514-condition_renamed_val', 'm-case-3514-distractor_renamed_val']",1
case-3515,"['m-case-3515-target', 'm-case-3515-condition', 'm-case-3515-distractor']","['m-case-3515-target_renamed_val', 'm-case-3515-condition_renamed_val', 'm-case-3515-distractor_renamed_val']",1
case-3516,"['m-case-3516-target', 'm-case-3516-condition', 'm-case-3516-distractor']","['m-case-3516-target_renamed_val', 'm-case-3516-condition_renamed_val', 'm-case-3516-distractor_renamed_val']",1
case-3517,"['m-case-3517-target', 'm-case-3517-condition', 'm-case-3517-distractor']","['m-case-3517-target_renamed_val', 'm-case-3517-condition_renamed_val', 'm-case-3517-distractor_renamed_val']",1
case-3518,"['m-case-3518-target', 'm-case-3518-condition', 'm-case-3518-distractor']","['m-case-3518-target_renamed_val', 'm-case-3518-condition_renamed_val', 'm-case-3518-distractor_renamed_val']",1
case-3519,"['m-case-3519-target', 'm-case-3519-condition', 'm-case-3519-distractor']","['m-case-3519-target_renamed_val', 'm-case-3519-condition_renamed_val', 'm-case-3519-distractor_renamed_val']",1
case-3520,"['m-case-3520-target', 'm-case-3520-condition', 'm-case-3520-distractor']","['m-case-3520-target_renamed_val', 'm-case-3520-condition_renamed_val', 'm-case-3520-distractor_renamed_val']",1
case-3521,"['m-case-3521-target', 'm-case-3521-condition', 'm-case-3521-distractor']","['m-case-3521-target_renamed_val', 'm-case-3521-condition_renamed_val', 'm-case-3521-distractor_renamed_val']",1
case-3522,"['m-case-3522-target', 'm-case-3522-condition', 'm-case-3522-distractor']","['m-case-3522-target_renamed_val', 'm-case-3522-condition_renamed_val', 'm-case-3522-distractor_renamed_val']",1
case-3523,"['m-case-3523-target', 'm-case-3523-condition', 'm-case-3523-distractor']","['m-case-3523-target_renamed_val', 'm-case-3523-condition_renamed_val', 'm-case-3523-distractor_renamed_val']",1
case-3524,"['m-case-3524-target', 'm-case-3524-condition', 'm-case-3524-distractor']","['m-case-3524-target_renamed_val', 'm-case-3524-condition_renamed_val', 'm-case-3524-distractor_renamed_val']",1
case-3525,"['m-case-3525-target', 'm-case-3525-condition', 'm-case-3525-distractor']","['m-case-3525-target_renamed_val', 'm-case-3525-condition_renamed_val', 'm-case-3525-distractor_renamed_val']",1
case-3526,"['m-case-3526-target', 'm-case-3526-condition', 'm-case-3526-distractor']","['m-case-3526-target_renamed_val', 'm-case-3526-condition_renamed_val', 'm-case-3526-distractor_renamed_val']",1
case-3527,"['m-case-3527-target', 'm-case-3527-condition', 'm-case-3527-distractor']","['m-case-3527-target_renamed_val', 'm-case-3527-condition_renamed_val', 'm-case-3527-distractor_renamed_val']",1
case-3528,"['m-case-3528-target', 'm-case-3528-condition', 'm-case-3528-distractor']","['m-case-3528-target_renamed_val', 'm-case-3528-condition_renamed_val', 'm-case-3528-distractor_renamed_val']",1
case-3529,"['m-case-3529-target', 'm-case-3529-condition', 'm-case-3529-distractor']","['m-case-3529-target_renamed_val', 'm-case-3529-condition_renamed_val', 'm-case-3529-distractor_renamed_val']",1
case-3530,"['m-case-3530-target', 'm-case-3530-condition', 'm-case-3530-distractor']","['m-case-3530-target_renamed_val', 'm-case-3530-condition_renamed_val', 'm-case-3530-distractor_renamed_val']",1
case-3531,"['m-case-3531-target', 'm-case-3531-condition', 'm-case-3531-distractor']","['m-case-3531-target_renamed_val', 'm-case-3531-condition_renamed_val', 'm-case-3531-distractor_renamed_val']",1
case-3532,"['m-case-3532-target', 'm-case-3532-condition', 'm-case-3532-distractor']","['m-case-3532-target_renamed_val', 'm-case-3532-condition_renamed_val', 'm-case-3532-distractor_renamed_val']",1
case-3533,"['m-case-3533-target', 'm-case-3533-condition', 'm-case-3533-distractor']","['m-case-3533-target_renamed_val', 'm-case-3533-condition_renamed_val', 'm-case-3533-distractor_renamed_val']",1
case-3534,"['m-case-3534-target', 'm-case-3534-condition', 'm-case-3534-distractor']","['m-case-3534-target_renamed_val', 'm-case-3534-condition_renamed_val', 'm-case-3534-distractor_renamed_val']",1
case-3535,"['m-case-3535-target', 'm-case-3535-condition', 'm-case-3535-distractor']","['m-case-3535-target_renamed_val', 'm-case-3535-condition_renamed_val', 'm-case-3535-distractor_renamed_val']",1
case-3536,"['m-case-3536-target', 'm-case-3536-condition', 'm-case-3536-distractor']","['m-case-3536-target_renamed_val', 'm-case-3536-condition_renamed_val', 'm-case-3536-distractor_renamed_val']",1
case-3537,"['m-case-3537-target', 'm-case-3537-condition', 'm-case-3537-distractor']","['m-case-3537-target_renamed_val', 'm-case-3537-condition_renamed_val', 'm-case-3537-distractor_renamed_val']",1
case-3538,"['m-case-3538-target', 'm-case-3538-condition', 'm-case-3538-distractor']","['m-case-3538-target_renamed_val', 'm-case-3538-condition_renamed_val', 'm-case-3538-distractor_renamed_val']",1
case-3539,"['m-case-3539-target', 'm-case-3539-condition', 'm-case-3539-distractor']","['m-case-3539-target_renamed_val', 'm-case-3539-condition_renamed_val', 'm-case-3539-distractor_renamed_val']",1
case-3540,"['m-case-3540-target', 'm-case-3540-condition', 'm-case-3540-distractor']","['m-case-3540-target_renamed_val', 'm-case-3540-condition_renamed_val', 'm-case-3540-distractor_renamed_val']",1
case-3541,"['m-case-3541-target', 'm-case-3541-condition', 'm-case-3541-distractor']","['m-case-3541-target_renamed_val', 'm-case-3541-condition_renamed_val', 'm-case-3541-distractor_renamed_val']",1
case-3542,"['m-case-3542-target', 'm-case-3542-condition', 'm-case-3542-distractor']","['m-case-3542-target_renamed_val', 'm-case-3542-condition_renamed_val', 'm-case-3542-distractor_renamed_val']",1
case-3543,"['m-case-3543-target', 'm-case-3543-condition', 'm-case-3543-distractor']","['m-case-3543-target_renamed_val', 'm-case-3543-condition_renamed_val', 'm-case-3543-distractor_renamed_val']",1
case-3544,"['m-case-3544-target', 'm-case-3544-condition', 'm-case-3544-distractor']","['m-case-3544-target_renamed_val', 'm-case-3544-condition_renamed_val', 'm-case-3544-distractor_renamed_val']",1
case-3545,"['m-case-3545-target', 'm-case-3545-condition', 'm-case-3545-distractor']","['m-case-3545-target_renamed_val', 'm-case-3545-condition_renamed_val', 'm-case-3545-distractor_renamed_val']",1
case-3546,"['m-case-3546-target', 'm-case-3546-condition', 'm-case-3546-distractor']","['m-case-3546-target_renamed_val', 'm-case-3546-condition_renamed_val', 'm-case-3546-distractor_renamed_val']",1
case-3547,"['m-case-3547-target', 'm-case-3547-condition', 'm-case-3547-distractor']","['m-case-3547-target_renamed_val', 'm-case-3547-condition_renamed_val', 'm-case-3547-distractor_renamed_val']",1
case-3548,"['m-case-3548-target', 'm-case-3548-condition', 'm-case-3548-distractor']","['m-case-3548-target_renamed_val', 'm-case-3548-condition_renamed_val', 'm-case-3548-distractor_renamed_val']",1
case-3549,"['m-case-3549-target', 'm-case-3549-condition', 'm-case-3549-distractor']","['m-case-3549-target_renamed_val', 'm-case-3549-condition_renamed_val', 'm-case-3549-distractor_renamed_val']",1
case-3550,"['m-case-3550-target', 'm-case-3550-condition', 'm-case-3550-distractor']","['m-case-3550-target_renamed_val', 'm-case-3550-condition_renamed_val', 'm-case-3550-distractor_renamed_val']",1
