scenario_id,original_events,transformed_events,equivariant
case-3501,7,8,1
case-3502,7,8,1
case-3503,7,8,1
case-3504,7,8,1
case-3505,7,8,1
case-3506,7,8,1
case-3507,7,8,1
case-3508,7,8,1
case-3509,7,8,1
case-3510,7,8,1
case-3511,7,8,1
case-3512,7,8,1
case-3513,7,8,1
case-3514,7,8,1
case-3515,7,8,1
case-3516,7,8,1
case-3517,7,8,1
case-3518,7,8,1
case-3519,7,8,1
case-3520,7,8,1
case-3521,7,8,1
case-3522,7,8,1
case-3523,7,8,1
case-3524,7,8,1
case-3525,7,8,1
case-3526,7,8,1
case-3527,7,8,1
case-3528,7,8,1
case-3529,7,8,1
case-3530,7,8,1
case-3531,7,8,1
case-3532,7,8,1
case-3533,7,8,1
case-3534,7,8,1
case-3535,7,8,1
case-3536,7,8,1
case-3537,7,8,1
case-3538,7,8,1
case-3539,7,8,1
case-3540,7,8,1
case-3541,7,8,1
case-3542,7,8,1
case-3543,7,8,1
case-3544,7,8,1
case-3545,7,8,1
case-3546,7,8,1
case-3547,7,8,1
case-3548,7,8,1
case-3549,7,8,1
case-3550,7,8,1
case-3551,7,8,1
case-3552,7,8,1
case-3553,7,8,1
case-3554,7,8,1
case-3555,7,8,1
case-3556,7,8,1
case-3557,7,8,1
case-3558,7,8,1
case-3559,7,8,1
case-3560,7,8,1
case-3561,7,8,1
case-3562,7,8,1
case-3563,7,8,1
case-3564,7,8,1
case-3565,7,8,1
case-3566,7,8,1
case-3567,7,8,1
case-3568,7,8,1
case-3569,7,8,1
case-3570,7,8,1
case-3571,7,8,1
case-3572,7,8,1
case-3573,7,8,1
case-3574,7,8,1
case-3575,7,8,1
case-3576,7,8,1
case-3577,7,8,1
case-3578,7,8,1
case-3579,7,8,1
case-3580,7,8,1
case-3581,7,8,1
case-3582,7,8,1
case-3583,7,8,1
case-3584,7,8,1
case-3585,7,8,1
case-3586,7,8,1
case-3587,7,8,1
case-3588,7,8,1
case-3589,7,8,1
case-3590,7,8,1
case-3591,7,8,1
case-3592,7,8,1
case-3593,7,8,1
case-3594,7,8,1
case-3595,7,8,1
case-3596,7,8,1
case-3597,7,8,1
case-3598,7,8,1
case-3599,7,8,1
case-3600,7,8,1
case-3601,7,8,1
case-3602,7,8,1
case-3603,7,8,1
case-3604,7,8,1
case-3605,7,8,1
case-3606,7,8,1
case-3607,7,8,1
case-3608,7,8,1
case-3609,7,8,1
case-3610,7,8,1
case-3611,7,8,1
case-3612,7,8,1
case-3613,7,8,1
case-3614,7,8,1
