method,bin_index,bin_center,x_key,n_cases,mean_joint_success,sem
Direct,0,218.0,approx_token_count,216,0.0,0.0
Direct,1,221.5,approx_token_count,400,0.0,0.0
Direct,2,224.20000000000002,approx_token_count,584,0.0,0.0
Direct,3,227.7,approx_token_count,332,0.0,0.0
Direct,4,231.5,approx_token_count,468,0.0,0.0
MemPatch,0,218.0,approx_token_count,216,0.2824074074074074,0.03070137211151092
MemPatch,1,221.5,approx_token_count,400,0.38,0.024299715851758236
MemPatch,2,224.20000000000002,approx_token_count,584,0.410958904109589,0.02037688139637447
MemPatch,3,227.7,approx_token_count,332,0.6054216867469879,0.026864675306909624
MemPatch,4,231.5,approx_token_count,468,0.2606837606837607,0.020314852405679044
